Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
Institution Name,12 of 1070,,,
S&E Fields,Health,,,
,,,,
,,,<measures>,
[Year],[Institution Name],[S&E Fields],[Sex],Graduate Students by Demographic Characteristics and Enrollment
2013,Yale University,Total for selected values,Total for selected values,20
2013,Yale University,Health,Total for selected values,20
2013,Yale University,Health,Female,19
2013,Yale University,Health,Male,1
2012,Total for selected values,Total for selected values,Total for selected values,"1,039"
2012,Columbia University in the City of New York,Total for selected values,Total for selected values,102
2012,Columbia University in the City of New York,Health,Total for selected values,102
2012,Columbia University in the City of New York,Health,Female,83
2012,Columbia University in the City of New York,Health,Male,19
2012,Cornell University,Total for selected values,Total for selected values,163
2012,Cornell University,Health,Total for selected values,163
2012,Cornell University,Health,Female,102
2012,Cornell University,Health,Male,61
2012,Dartmouth College,Total for selected values,Total for selected values,183
2012,Dartmouth College,Health,Total for selected values,183
2012,Dartmouth College,Health,Female,96
2012,Dartmouth College,Health,Male,87
2012,Duke University,Total for selected values,Total for selected values,76
2012,Duke University,Health,Total for selected values,76
2012,Duke University,Health,Female,40
2012,Duke University,Health,Male,36
2012,Harvard University,Total for selected values,Total for selected values,488
2012,Harvard University,Health,Total for selected values,488
2012,Harvard University,Health,Female,303
2012,Harvard University,Health,Male,185
2012,Stanford University,Total for selected values,Total for selected values,8
2012,Stanford University,Health,Total for selected values,8
2012,Stanford University,Health,Female,5
2012,Stanford University,Health,Male,3
2012,Yale University,Total for selected values,Total for selected values,19
2012,Yale University,Health,Total for selected values,19
2012,Yale University,Health,Female,18
2012,Yale University,Health,Male,1
2011,Total for selected values,Total for selected values,Total for selected values,945
2011,Columbia University in the City of New York,Total for selected values,Total for selected values,115
2011,Columbia University in the City of New York,Health,Total for selected values,115
2011,Columbia University in the City of New York,Health,Female,82
2011,Columbia University in the City of New York,Health,Male,33
2011,Cornell University,Total for selected values,Total for selected values,224
2011,Cornell University,Health,Total for selected values,224
2011,Cornell University,Health,Female,142
2011,Cornell University,Health,Male,82
2011,Dartmouth College,Total for selected values,Total for selected values,95
2011,Dartmouth College,Health,Total for selected values,95
2011,Dartmouth College,Health,Female,55
2011,Dartmouth College,Health,Male,40
2011,Duke University,Total for selected values,Total for selected values,79
2011,Duke University,Health,Total for selected values,79
2011,Duke University,Health,Female,40
2011,Duke University,Health,Male,39
2011,Harvard University,Total for selected values,Total for selected values,406
2011,Harvard University,Health,Total for selected values,406
2011,Harvard University,Health,Female,263
2011,Harvard University,Health,Male,143
2011,Stanford University,Total for selected values,Total for selected values,8
2011,Stanford University,Health,Total for selected values,8
2011,Stanford University,Health,Female,5
2011,Stanford University,Health,Male,3
2011,Yale University,Total for selected values,Total for selected values,18
2011,Yale University,Health,Total for selected values,18
2011,Yale University,Health,Female,18
2010,Total for selected values,Total for selected values,Total for selected values,"1,625"
2010,Brown University,Total for selected values,Total for selected values,60
2010,Brown University,Health,Total for selected values,60
2010,Brown University,Health,Female,30
2010,Brown University,Health,Male,30
2010,Columbia University in the City of New York,Total for selected values,Total for selected values,303
2010,Columbia University in the City of New York,Health,Total for selected values,303
2010,Columbia University in the City of New York,Health,Female,267
2010,Columbia University in the City of New York,Health,Male,36
2010,Cornell University,Total for selected values,Total for selected values,313
2010,Cornell University,Health,Total for selected values,313
2010,Cornell University,Health,Female,197
2010,Cornell University,Health,Male,116
2010,Dartmouth College,Total for selected values,Total for selected values,110
2010,Dartmouth College,Health,Total for selected values,110
2010,Dartmouth College,Health,Female,65
2010,Dartmouth College,Health,Male,45
2010,Duke University,Total for selected values,Total for selected values,72
2010,Duke University,Health,Total for selected values,72
2010,Duke University,Health,Female,33
2010,Duke University,Health,Male,39
2010,Harvard University,Total for selected values,Total for selected values,699
2010,Harvard University,Health,Total for selected values,699
2010,Harvard University,Health,Female,438
2010,Harvard University,Health,Male,261
2010,Stanford University,Total for selected values,Total for selected values,8
2010,Stanford University,Health,Total for selected values,8
2010,Stanford University,Health,Female,4
2010,Stanford University,Health,Male,4
2010,Yale University,Total for selected values,Total for selected values,60
2010,Yale University,Health,Total for selected values,60
2010,Yale University,Health,Female,40
2010,Yale University,Health,Male,20
2009,Total for selected values,Total for selected values,Total for selected values,"1,845"
2009,Brown University,Total for selected values,Total for selected values,55
2009,Brown University,Health,Total for selected values,55
2009,Brown University,Health,Female,26
2009,Brown University,Health,Male,29
2009,Columbia Univ in the City of New York,Total for selected values,Total for selected values,317
2009,Columbia Univ in the City of New York,Health,Total for selected values,317
2009,Columbia Univ in the City of New York,Health,Female,275
2009,Columbia Univ in the City of New York,Health,Male,42
2009,Cornell University,Total for selected values,Total for selected values,278
2009,Cornell University,Health,Total for selected values,278
2009,Cornell University,Health,Female,177
2009,Cornell University,Health,Male,101
2009,Dartmouth College,Total for selected values,Total for selected values,118
2009,Dartmouth College,Health,Total for selected values,118
2009,Dartmouth College,Health,Female,74
2009,Dartmouth College,Health,Male,44
2009,Duke University,Total for selected values,Total for selected values,40
2009,Duke University,Health,Total for selected values,40
2009,Duke University,Health,Female,20
2009,Duke University,Health,Male,20
2009,Harvard University,Total for selected values,Total for selected values,781
2009,Harvard University,Health,Total for selected values,781
2009,Harvard University,Health,Female,469
2009,Harvard University,Health,Male,312
2009,Massachusetts Institute of Technology,Total for selected values,Total for selected values,172
2009,Massachusetts Institute of Technology,Health,Total for selected values,172
2009,Massachusetts Institute of Technology,Health,Female,61
2009,Massachusetts Institute of Technology,Health,Male,111
2009,Stanford University,Total for selected values,Total for selected values,26
2009,Stanford University,Health,Total for selected values,26
2009,Stanford University,Health,Female,14
2009,Stanford University,Health,Male,12
2009,Yale University,Total for selected values,Total for selected values,58
2009,Yale University,Health,Total for selected values,58
2009,Yale University,Health,Female,38
2009,Yale University,Health,Male,20
2008,Total for selected values,Total for selected values,Total for selected values,"2,277"
2008,Brown University,Total for selected values,Total for selected values,49
2008,Brown University,Health,Total for selected values,49
2008,Brown University,Health,Female,21
2008,Brown University,Health,Male,28
2008,Columbia Univ in the City of New York,Total for selected values,Total for selected values,635
2008,Columbia Univ in the City of New York,Health,Total for selected values,635
2008,Columbia Univ in the City of New York,Health,Female,540
2008,Columbia Univ in the City of New York,Health,Male,95
2008,Cornell University,Total for selected values,Total for selected values,256
2008,Cornell University,Health,Total for selected values,256
2008,Cornell University,Health,Female,170
2008,Cornell University,Health,Male,86
2008,Dartmouth College,Total for selected values,Total for selected values,124
2008,Dartmouth College,Health,Total for selected values,124
2008,Dartmouth College,Health,Female,68
2008,Dartmouth College,Health,Male,56
2008,Duke University,Total for selected values,Total for selected values,12
2008,Duke University,Health,Total for selected values,12
2008,Duke University,Health,Female,9
2008,Duke University,Health,Male,3
2008,Harvard University,Total for selected values,Total for selected values,899
2008,Harvard University,Health,Total for selected values,899
2008,Harvard University,Health,Female,522
2008,Harvard University,Health,Male,377
2008,Massachusetts Institute of Technology,Total for selected values,Total for selected values,208
2008,Massachusetts Institute of Technology,Health,Total for selected values,208
2008,Massachusetts Institute of Technology,Health,Female,72
2008,Massachusetts Institute of Technology,Health,Male,136
2008,Stanford University,Total for selected values,Total for selected values,23
2008,Stanford University,Health,Total for selected values,23
2008,Stanford University,Health,Female,8
2008,Stanford University,Health,Male,15
