Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
Institution Name,12 of 1070,,,
S&E Fields,Health,,,
,,,,
,,,<measures>,
[Year],[Institution Name],[S&E Fields],[Sex],Graduate Students by Demographic Characteristics and Enrollment
1999,Brown University,Total for selected values,Total for selected values,17
1999,Brown University,Health,Total for selected values,17
1999,Brown University,Health,Female,8
1999,Brown University,Health,Male,9
1999,Cornell University,Total for selected values,Total for selected values,68
1999,Cornell University,Health,Total for selected values,68
1999,Cornell University,Health,Female,29
1999,Cornell University,Health,Male,39
1999,Dartmouth College,Total for selected values,Total for selected values,72
1999,Dartmouth College,Health,Total for selected values,72
1999,Dartmouth College,Health,Female,50
1999,Dartmouth College,Health,Male,22
1999,Duke University,Total for selected values,Total for selected values,76
1999,Duke University,Health,Total for selected values,76
1999,Duke University,Health,Female,53
1999,Duke University,Health,Male,23
1999,Harvard University,Total for selected values,Total for selected values,604
1999,Harvard University,Health,Total for selected values,604
1999,Harvard University,Health,Female,153
1999,Harvard University,Health,Male,451
1999,Massachusetts Institute of Technology,Total for selected values,Total for selected values,291
1999,Massachusetts Institute of Technology,Health,Total for selected values,291
1999,Massachusetts Institute of Technology,Health,Female,77
1999,Massachusetts Institute of Technology,Health,Male,214
1999,Stanford University,Total for selected values,Total for selected values,131
1999,Stanford University,Health,Total for selected values,131
1999,Stanford University,Health,Female,54
1999,Stanford University,Health,Male,77
1999,University of Pennsylvania,Total for selected values,Total for selected values,99
1999,University of Pennsylvania,Health,Total for selected values,99
1999,University of Pennsylvania,Health,Female,41
1999,University of Pennsylvania,Health,Male,58
1999,Yale University,Total for selected values,Total for selected values,286
1999,Yale University,Health,Total for selected values,286
1999,Yale University,Health,Female,237
1999,Yale University,Health,Male,49
1998,Total for selected values,Total for selected values,Total for selected values,"1,611"
1998,Brown University,Total for selected values,Total for selected values,21
1998,Brown University,Health,Total for selected values,21
1998,Brown University,Health,Female,10
1998,Brown University,Health,Male,11
1998,Cornell University,Total for selected values,Total for selected values,81
1998,Cornell University,Health,Total for selected values,81
1998,Cornell University,Health,Female,42
1998,Cornell University,Health,Male,39
1998,Dartmouth College,Total for selected values,Total for selected values,73
1998,Dartmouth College,Health,Total for selected values,73
1998,Dartmouth College,Health,Female,47
1998,Dartmouth College,Health,Male,26
1998,Duke University,Total for selected values,Total for selected values,60
1998,Duke University,Health,Total for selected values,60
1998,Duke University,Health,Female,49
1998,Duke University,Health,Male,11
1998,Harvard University,Total for selected values,Total for selected values,589
1998,Harvard University,Health,Total for selected values,589
1998,Harvard University,Health,Female,161
1998,Harvard University,Health,Male,428
1998,Massachusetts Institute of Technology,Total for selected values,Total for selected values,274
1998,Massachusetts Institute of Technology,Health,Total for selected values,274
1998,Massachusetts Institute of Technology,Health,Female,68
1998,Massachusetts Institute of Technology,Health,Male,206
1998,Stanford University,Total for selected values,Total for selected values,134
1998,Stanford University,Health,Total for selected values,134
1998,Stanford University,Health,Female,56
1998,Stanford University,Health,Male,78
1998,University of Pennsylvania,Total for selected values,Total for selected values,90
1998,University of Pennsylvania,Health,Total for selected values,90
1998,University of Pennsylvania,Health,Female,35
1998,University of Pennsylvania,Health,Male,55
1998,Yale University,Total for selected values,Total for selected values,289
1998,Yale University,Health,Total for selected values,289
1998,Yale University,Health,Female,239
1998,Yale University,Health,Male,50
1997,Total for selected values,Total for selected values,Total for selected values,"1,507"
1997,Brown University,Total for selected values,Total for selected values,17
1997,Brown University,Health,Total for selected values,17
1997,Brown University,Health,Female,6
1997,Brown University,Health,Male,11
1997,Columbia Univ in the City of New York,Total for selected values,Total for selected values,4
1997,Columbia Univ in the City of New York,Health,Total for selected values,4
1997,Columbia Univ in the City of New York,Health,Female,1
1997,Columbia Univ in the City of New York,Health,Male,3
1997,Cornell University,Total for selected values,Total for selected values,74
1997,Cornell University,Health,Total for selected values,74
1997,Cornell University,Health,Female,40
1997,Cornell University,Health,Male,34
1997,Dartmouth College,Total for selected values,Total for selected values,81
1997,Dartmouth College,Health,Total for selected values,81
1997,Dartmouth College,Health,Female,44
1997,Dartmouth College,Health,Male,37
1997,Duke University,Total for selected values,Total for selected values,64
1997,Duke University,Health,Total for selected values,64
1997,Duke University,Health,Female,50
1997,Duke University,Health,Male,14
1997,Harvard University,Total for selected values,Total for selected values,483
1997,Harvard University,Health,Total for selected values,483
1997,Harvard University,Health,Female,104
1997,Harvard University,Health,Male,379
1997,Massachusetts Institute of Technology,Total for selected values,Total for selected values,254
1997,Massachusetts Institute of Technology,Health,Total for selected values,254
1997,Massachusetts Institute of Technology,Health,Female,59
1997,Massachusetts Institute of Technology,Health,Male,195
1997,Stanford University,Total for selected values,Total for selected values,143
1997,Stanford University,Health,Total for selected values,143
1997,Stanford University,Health,Female,64
1997,Stanford University,Health,Male,79
1997,University of Pennsylvania,Total for selected values,Total for selected values,93
1997,University of Pennsylvania,Health,Total for selected values,93
1997,University of Pennsylvania,Health,Female,37
1997,University of Pennsylvania,Health,Male,56
1997,Yale University,Total for selected values,Total for selected values,294
1997,Yale University,Health,Total for selected values,294
1997,Yale University,Health,Female,249
1997,Yale University,Health,Male,45
1996,Total for selected values,Total for selected values,Total for selected values,"1,522"
1996,Brown University,Total for selected values,Total for selected values,12
1996,Brown University,Health,Total for selected values,12
1996,Brown University,Health,Female,5
1996,Brown University,Health,Male,7
1996,Cornell University,Total for selected values,Total for selected values,73
1996,Cornell University,Health,Total for selected values,73
1996,Cornell University,Health,Female,37
1996,Cornell University,Health,Male,36
1996,Duke University,Total for selected values,Total for selected values,66
1996,Duke University,Health,Total for selected values,66
1996,Duke University,Health,Female,51
1996,Duke University,Health,Male,15
1996,Harvard University,Total for selected values,Total for selected values,573
1996,Harvard University,Health,Total for selected values,573
1996,Harvard University,Health,Female,163
1996,Harvard University,Health,Male,410
1996,Massachusetts Institute of Technology,Total for selected values,Total for selected values,263
1996,Massachusetts Institute of Technology,Health,Total for selected values,263
1996,Massachusetts Institute of Technology,Health,Female,72
1996,Massachusetts Institute of Technology,Health,Male,191
1996,Stanford University,Total for selected values,Total for selected values,150
1996,Stanford University,Health,Total for selected values,150
1996,Stanford University,Health,Female,60
1996,Stanford University,Health,Male,90
1996,University of Pennsylvania,Total for selected values,Total for selected values,96
1996,University of Pennsylvania,Health,Total for selected values,96
1996,University of Pennsylvania,Health,Female,41
1996,University of Pennsylvania,Health,Male,55
1996,Yale University,Total for selected values,Total for selected values,289
1996,Yale University,Health,Total for selected values,289
1996,Yale University,Health,Female,246
1996,Yale University,Health,Male,43
1995,Total for selected values,Total for selected values,Total for selected values,"1,867"
1995,Brown University,Total for selected values,Total for selected values,10
1995,Brown University,Health,Total for selected values,10
1995,Brown University,Health,Female,5
1995,Brown University,Health,Male,5
1995,Columbia Univ in the City of New York,Total for selected values,Total for selected values,600
1995,Columbia Univ in the City of New York,Health,Total for selected values,600
1995,Columbia Univ in the City of New York,Health,Female,395
1995,Columbia Univ in the City of New York,Health,Male,205
1995,Cornell University,Total for selected values,Total for selected values,80
1995,Cornell University,Health,Total for selected values,80
1995,Cornell University,Health,Female,45
1995,Cornell University,Health,Male,35
1995,Duke University,Total for selected values,Total for selected values,54
1995,Duke University,Health,Total for selected values,54
1995,Duke University,Health,Female,44
1995,Duke University,Health,Male,10
1995,Harvard University,Total for selected values,Total for selected values,340
1995,Harvard University,Health,Total for selected values,340
1995,Harvard University,Health,Female,184
1995,Harvard University,Health,Male,156
1995,Massachusetts Institute of Technology,Total for selected values,Total for selected values,234
1995,Massachusetts Institute of Technology,Health,Total for selected values,234
1995,Massachusetts Institute of Technology,Health,Female,66
1995,Massachusetts Institute of Technology,Health,Male,168
1995,Stanford University,Total for selected values,Total for selected values,148
1995,Stanford University,Health,Total for selected values,148
1995,Stanford University,Health,Female,72
1995,Stanford University,Health,Male,76
1995,University of Pennsylvania,Total for selected values,Total for selected values,99
1995,University of Pennsylvania,Health,Total for selected values,99
1995,University of Pennsylvania,Health,Female,37
1995,University of Pennsylvania,Health,Male,62
1995,Yale University,Total for selected values,Total for selected values,302
1995,Yale University,Health,Total for selected values,302
1995,Yale University,Health,Female,251
1995,Yale University,Health,Male,51
1994,Total for selected values,Total for selected values,Total for selected values,"1,679"
1994,Brown University,Total for selected values,Total for selected values,10
1994,Brown University,Health,Total for selected values,10
1994,Brown University,Health,Female,5
1994,Brown University,Health,Male,5
1994,Columbia Univ in the City of New York,Total for selected values,Total for selected values,595
1994,Columbia Univ in the City of New York,Health,Total for selected values,595
1994,Columbia Univ in the City of New York,Health,Female,399
1994,Columbia Univ in the City of New York,Health,Male,196
1994,Cornell University,Total for selected values,Total for selected values,83
1994,Cornell University,Health,Total for selected values,83
1994,Cornell University,Health,Female,42
1994,Cornell University,Health,Male,41
1994,Duke University,Total for selected values,Total for selected values,56
1994,Duke University,Health,Total for selected values,56
1994,Duke University,Health,Female,41
1994,Duke University,Health,Male,15
1994,Harvard University,Total for selected values,Total for selected values,339
1994,Harvard University,Health,Total for selected values,339
1994,Harvard University,Health,Female,199
1994,Harvard University,Health,Male,140
1994,Massachusetts Institute of Technology,Total for selected values,Total for selected values,89
1994,Massachusetts Institute of Technology,Health,Total for selected values,89
1994,Massachusetts Institute of Technology,Health,Female,25
1994,Massachusetts Institute of Technology,Health,Male,64
1994,Stanford University,Total for selected values,Total for selected values,143
1994,Stanford University,Health,Total for selected values,143
1994,Stanford University,Health,Female,63
1994,Stanford University,Health,Male,80
1994,University of Pennsylvania,Total for selected values,Total for selected values,85
1994,University of Pennsylvania,Health,Total for selected values,85
1994,University of Pennsylvania,Health,Female,32
1994,University of Pennsylvania,Health,Male,53
1994,Yale University,Total for selected values,Total for selected values,279
1994,Yale University,Health,Total for selected values,279
1994,Yale University,Health,Female,235
1994,Yale University,Health,Male,44
,,,,
,,,,
NOTES:,,,,
,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Graduate Students and Postdoctorates in Science and Engineering Survey.",,,,
Downloaded 2019/04/24 at 14:47:18 PM EST,,,,
