Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
Institution Name,12 of 1070,,,
,,,,
,,,<measures>,
[Year],[Institution Name],[SEH Fields],[Sex],Graduate Students by Demographic Characteristics and Enrollment
2015,Cornell University,Health,Female,75
2015,Cornell University,Health,Male,53
2015,Dartmouth College,Total for selected values,Total for selected values,926
2015,Dartmouth College,Science,Total for selected values,558
2015,Dartmouth College,Science,Female,261
2015,Dartmouth College,Science,Male,297
2015,Dartmouth College,Engineering,Total for selected values,193
2015,Dartmouth College,Engineering,Female,54
2015,Dartmouth College,Engineering,Male,139
2015,Dartmouth College,Health,Total for selected values,175
2015,Dartmouth College,Health,Female,82
2015,Dartmouth College,Health,Male,93
2015,Duke University,Total for selected values,Total for selected values,"2,785"
2015,Duke University,Science,Total for selected values,"2,047"
2015,Duke University,Science,Female,983
2015,Duke University,Science,Male,"1,064"
2015,Duke University,Engineering,Total for selected values,585
2015,Duke University,Engineering,Female,186
2015,Duke University,Engineering,Male,399
2015,Duke University,Health,Total for selected values,153
2015,Duke University,Health,Female,94
2015,Duke University,Health,Male,59
2015,Harvard University,Total for selected values,Total for selected values,"5,011"
2015,Harvard University,Science,Total for selected values,"4,258"
2015,Harvard University,Science,Female,"1,887"
2015,Harvard University,Science,Male,"2,371"
2015,Harvard University,Engineering,Total for selected values,180
2015,Harvard University,Engineering,Female,50
2015,Harvard University,Engineering,Male,130
2015,Harvard University,Health,Total for selected values,573
2015,Harvard University,Health,Female,342
2015,Harvard University,Health,Male,231
2015,Massachusetts Institute of Technology,Total for selected values,Total for selected values,"4,723"
2015,Massachusetts Institute of Technology,Science,Total for selected values,"2,091"
2015,Massachusetts Institute of Technology,Science,Female,667
2015,Massachusetts Institute of Technology,Science,Male,"1,424"
2015,Massachusetts Institute of Technology,Engineering,Total for selected values,"2,632"
2015,Massachusetts Institute of Technology,Engineering,Female,763
2015,Massachusetts Institute of Technology,Engineering,Male,"1,869"
2015,Princeton University,Total for selected values,Total for selected values,"2,022"
2015,Princeton University,Science,Total for selected values,"1,547"
2015,Princeton University,Science,Female,589
2015,Princeton University,Science,Male,958
2015,Princeton University,Engineering,Total for selected values,475
2015,Princeton University,Engineering,Female,129
2015,Princeton University,Engineering,Male,346
2015,Stanford University,Total for selected values,Total for selected values,"6,610"
2015,Stanford University,Science,Total for selected values,"3,237"
2015,Stanford University,Science,Female,"1,214"
2015,Stanford University,Science,Male,"2,023"
2015,Stanford University,Engineering,Total for selected values,"3,323"
2015,Stanford University,Engineering,Female,971
2015,Stanford University,Engineering,Male,"2,352"
2015,Stanford University,Health,Total for selected values,50
2015,Stanford University,Health,Female,23
2015,Stanford University,Health,Male,27
2015,University of Pennsylvania,Total for selected values,Total for selected values,"3,312"
2015,University of Pennsylvania,Science,Total for selected values,"2,431"
2015,University of Pennsylvania,Science,Female,"1,146"
2015,University of Pennsylvania,Science,Male,"1,285"
2015,University of Pennsylvania,Engineering,Total for selected values,721
2015,University of Pennsylvania,Engineering,Female,207
2015,University of Pennsylvania,Engineering,Male,514
2015,University of Pennsylvania,Health,Total for selected values,160
2015,University of Pennsylvania,Health,Female,133
2015,University of Pennsylvania,Health,Male,27
2015,Yale University,Total for selected values,Total for selected values,"2,071"
2015,Yale University,Science,Total for selected values,"1,841"
2015,Yale University,Science,Female,875
2015,Yale University,Science,Male,966
2015,Yale University,Engineering,Total for selected values,217
2015,Yale University,Engineering,Female,69
2015,Yale University,Engineering,Male,148
2015,Yale University,Health,Total for selected values,13
2015,Yale University,Health,Female,12
2015,Yale University,Health,Male,1
2014,Total for selected values,Total for selected values,Total for selected values,"39,391"
2014,Brown University,Total for selected values,Total for selected values,"1,581"
2014,Brown University,Science,Total for selected values,"1,274"
2014,Brown University,Science,Female,591
2014,Brown University,Science,Male,683
2014,Brown University,Engineering,Total for selected values,199
2014,Brown University,Engineering,Female,56
2014,Brown University,Engineering,Male,143
2014,Brown University,Health,Total for selected values,108
2014,Brown University,Health,Female,85
2014,Brown University,Health,Male,23
2014,Columbia University in the City of New York,Total for selected values,Total for selected values,"5,718"
2014,Columbia University in the City of New York,Science,Total for selected values,"3,385"
2014,Columbia University in the City of New York,Science,Female,"1,528"
2014,Columbia University in the City of New York,Science,Male,"1,857"
2014,Columbia University in the City of New York,Engineering,Total for selected values,"2,229"
2014,Columbia University in the City of New York,Engineering,Female,658
2014,Columbia University in the City of New York,Engineering,Male,"1,571"
2014,Columbia University in the City of New York,Health,Total for selected values,104
2014,Columbia University in the City of New York,Health,Female,92
2014,Columbia University in the City of New York,Health,Male,12
2014,Cornell University,Total for selected values,Total for selected values,"4,937"
2014,Cornell University,Science,Total for selected values,"3,170"
2014,Cornell University,Science,Female,"1,535"
2014,Cornell University,Science,Male,"1,635"
2014,Cornell University,Engineering,Total for selected values,"1,671"
2014,Cornell University,Engineering,Female,568
