Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Enrollment Status","Full Time"
"Institution Name","12 of 1070"
"SEH Fields","Science, Engineering"
"First-Time Students","First Time Students"

,,,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[SEH Fields]","[Broad Fields]","[First-Time Students]","[Enrollment Status]","[Sex]",
"2016","Columbia University in the City of New York","Science","Computer sciences","First Time Students","Full Time","Male","149",
"2016","Columbia University in the City of New York","Science","Earth, atmospheric, and ocean sciences","Total for selected values","Total for selected values","Total for selected values","73",
"2016","Columbia University in the City of New York","Science","Earth, atmospheric, and ocean sciences","First Time Students","Total for selected values","Total for selected values","73",
"2016","Columbia University in the City of New York","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Total for selected values","73",
"2016","Columbia University in the City of New York","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Female","43",
"2016","Columbia University in the City of New York","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Male","30",
"2016","Columbia University in the City of New York","Science","Mathematics and statistics","Total for selected values","Total for selected values","Total for selected values","401",
"2016","Columbia University in the City of New York","Science","Mathematics and statistics","First Time Students","Total for selected values","Total for selected values","401",
"2016","Columbia University in the City of New York","Science","Mathematics and statistics","First Time Students","Full Time","Total for selected values","401",
"2016","Columbia University in the City of New York","Science","Mathematics and statistics","First Time Students","Full Time","Female","195",
"2016","Columbia University in the City of New York","Science","Mathematics and statistics","First Time Students","Full Time","Male","206",
"2016","Columbia University in the City of New York","Science","Neurobiology and neuroscience","Total for selected values","Total for selected values","Total for selected values","27",
"2016","Columbia University in the City of New York","Science","Neurobiology and neuroscience","First Time Students","Total for selected values","Total for selected values","27",
"2016","Columbia University in the City of New York","Science","Neurobiology and neuroscience","First Time Students","Full Time","Total for selected values","27",
"2016","Columbia University in the City of New York","Science","Neurobiology and neuroscience","First Time Students","Full Time","Female","11",
"2016","Columbia University in the City of New York","Science","Neurobiology and neuroscience","First Time Students","Full Time","Male","16",
"2016","Columbia University in the City of New York","Science","Physical sciences","Total for selected values","Total for selected values","Total for selected values","55",
"2016","Columbia University in the City of New York","Science","Physical sciences","First Time Students","Total for selected values","Total for selected values","55",
"2016","Columbia University in the City of New York","Science","Physical sciences","First Time Students","Full Time","Total for selected values","55",
"2016","Columbia University in the City of New York","Science","Physical sciences","First Time Students","Full Time","Female","20",
"2016","Columbia University in the City of New York","Science","Physical sciences","First Time Students","Full Time","Male","35",
"2016","Columbia University in the City of New York","Science","Psychology","Total for selected values","Total for selected values","Total for selected values","3",
"2016","Columbia University in the City of New York","Science","Psychology","First Time Students","Total for selected values","Total for selected values","3",
"2016","Columbia University in the City of New York","Science","Psychology","First Time Students","Full Time","Total for selected values","3",
"2016","Columbia University in the City of New York","Science","Psychology","First Time Students","Full Time","Female","3",
"2016","Columbia University in the City of New York","Science","Social sciences","Total for selected values","Total for selected values","Total for selected values","250",
"2016","Columbia University in the City of New York","Science","Social sciences","First Time Students","Total for selected values","Total for selected values","250",
"2016","Columbia University in the City of New York","Science","Social sciences","First Time Students","Full Time","Total for selected values","250",
"2016","Columbia University in the City of New York","Science","Social sciences","First Time Students","Full Time","Female","133",
"2016","Columbia University in the City of New York","Science","Social sciences","First Time Students","Full Time","Male","117",
"2016","Columbia University in the City of New York","Engineering","Total for selected values","Total for selected values","Total for selected values","Total for selected values","1,086",
"2016","Columbia University in the City of New York","Engineering","Engineering","Total for selected values","Total for selected values","Total for selected values","1,086",
"2016","Columbia University in the City of New York","Engineering","Engineering","First Time Students","Total for selected values","Total for selected values","1,086",
"2016","Columbia University in the City of New York","Engineering","Engineering","First Time Students","Full Time","Total for selected values","1,086",
"2016","Columbia University in the City of New York","Engineering","Engineering","First Time Students","Full Time","Female","392",
"2016","Columbia University in the City of New York","Engineering","Engineering","First Time Students","Full Time","Male","694",
"2016","Cornell University","Total for selected values","Total for selected values","Total for selected values","Total for selected values","Total for selected values","1,733",
"2016","Cornell University","Science","Total for selected values","Total for selected values","Total for selected values","Total for selected values","1,029",
"2016","Cornell University","Science","Agricultural sciences","Total for selected values","Total for selected values","Total for selected values","88",
"2016","Cornell University","Science","Agricultural sciences","First Time Students","Total for selected values","Total for selected values","88",
"2016","Cornell University","Science","Agricultural sciences","First Time Students","Full Time","Total for selected values","88",
"2016","Cornell University","Science","Agricultural sciences","First Time Students","Full Time","Female","55",
"2016","Cornell University","Science","Agricultural sciences","First Time Students","Full Time","Male","33",
"2016","Cornell University","Science","Biological sciences","Total for selected values","Total for selected values","Total for selected values","168",
"2016","Cornell University","Science","Biological sciences","First Time Students","Total for selected values","Total for selected values","168",
"2016","Cornell University","Science","Biological sciences","First Time Students","Full Time","Total for selected values","168",
"2016","Cornell University","Science","Biological sciences","First Time Students","Full Time","Female","106",
"2016","Cornell University","Science","Biological sciences","First Time Students","Full Time","Male","62",
"2016","Cornell University","Science","Communication","Total for selected values","Total for selected values","Total for selected values","7",
"2016","Cornell University","Science","Communication","First Time Students","Total for selected values","Total for selected values","7",
"2016","Cornell University","Science","Communication","First Time Students","Full Time","Total for selected values","7",
"2016","Cornell University","Science","Communication","First Time Students","Full Time","Female","4",
"2016","Cornell University","Science","Communication","First Time Students","Full Time","Male","3",
"2016","Cornell University","Science","Computer sciences","Total for selected values","Total for selected values","Total for selected values","285",
"2016","Cornell University","Science","Computer sciences","First Time Students","Total for selected values","Total for selected values","285",
"2016","Cornell University","Science","Computer sciences","First Time Students","Full Time","Total for selected values","285",
"2016","Cornell University","Science","Computer sciences","First Time Students","Full Time","Female","123",
"2016","Cornell University","Science","Computer sciences","First Time Students","Full Time","Male","162",
"2016","Cornell University","Science","Earth, atmospheric, and ocean sciences","Total for selected values","Total for selected values","Total for selected values","10",
"2016","Cornell University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Total for selected values","Total for selected values","10",
"2016","Cornell University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Total for selected values","10",
"2016","Cornell University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Female","2",
"2016","Cornell University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Male","8",
"2016","Cornell University","Science","Family and consumer sciences and human sciences","Total for selected values","Total for selected values","Total for selected values","9",
"2016","Cornell University","Science","Family and consumer sciences and human sciences","First Time Students","Total for selected values","Total for selected values","9",
"2016","Cornell University","Science","Family and consumer sciences and human sciences","First Time Students","Full Time","Total for selected values","9",
"2016","Cornell University","Science","Family and consumer sciences and human sciences","First Time Students","Full Time","Female","8",
"2016","Cornell University","Science","Family and consumer sciences and human sciences","First Time Students","Full Time","Male","1",
"2016","Cornell University","Science","Mathematics and statistics","Total for selected values","Total for selected values","Total for selected values","68",
"2016","Cornell University","Science","Mathematics and statistics","First Time Students","Total for selected values","Total for selected values","68",
"2016","Cornell University","Science","Mathematics and statistics","First Time Students","Full Time","Total for selected values","68",
"2016","Cornell University","Science","Mathematics and statistics","First Time Students","Full Time","Female","39",
"2016","Cornell University","Science","Mathematics and statistics","First Time Students","Full Time","Male","29",
"2016","Cornell University","Science","Multidisciplinary and interdisciplinary studies","Total for selected values","Total for selected values","Total for selected values","3",
"2016","Cornell University","Science","Multidisciplinary and interdisciplinary studies","First Time Students","Total for selected values","Total for selected values","3",
"2016","Cornell University","Science","Multidisciplinary and interdisciplinary studies","First Time Students","Full Time","Total for selected values","3",
"2016","Cornell University","Science","Multidisciplinary and interdisciplinary studies","First Time Students","Full Time","Female","2",
"2016","Cornell University","Science","Multidisciplinary and interdisciplinary studies","First Time Students","Full Time","Male","1",
"2016","Cornell University","Science","Neurobiology and neuroscience","Total for selected values","Total for selected values","Total for selected values","21",
"2016","Cornell University","Science","Neurobiology and neuroscience","First Time Students","Total for selected values","Total for selected values","21",
"2016","Cornell University","Science","Neurobiology and neuroscience","First Time Students","Full Time","Total for selected values","21",
"2016","Cornell University","Science","Neurobiology and neuroscience","First Time Students","Full Time","Female","14",
