Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Enrollment Status","Full Time"
"Institution Name","12 of 1070"
"SEH Fields","Science, Engineering"
"First-Time Students","First Time Students"

,,,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[SEH Fields]","[Detailed Fields]","[First-Time Students]","[Enrollment Status]","[Sex]",
"2016","Brown University","Science","Social sciences not elsewhere classified","Total for selected values","Total for selected values","Total for selected values","46",
"2016","Brown University","Science","Social sciences not elsewhere classified","First Time Students","Total for selected values","Total for selected values","46",
"2016","Brown University","Science","Social sciences not elsewhere classified","First Time Students","Full Time","Total for selected values","46",
"2016","Brown University","Science","Social sciences not elsewhere classified","First Time Students","Full Time","Female","30",
"2016","Brown University","Science","Social sciences not elsewhere classified","First Time Students","Full Time","Male","16",
"2016","Brown University","Science","Sociology","Total for selected values","Total for selected values","Total for selected values","5",
"2016","Brown University","Science","Sociology","First Time Students","Total for selected values","Total for selected values","5",
"2016","Brown University","Science","Sociology","First Time Students","Full Time","Total for selected values","5",
"2016","Brown University","Science","Sociology","First Time Students","Full Time","Female","5",
"2016","Brown University","Engineering","Total for selected values","Total for selected values","Total for selected values","Total for selected values","85",
"2016","Brown University","Engineering","Biomedical engineering","Total for selected values","Total for selected values","Total for selected values","11",
"2016","Brown University","Engineering","Biomedical engineering","First Time Students","Total for selected values","Total for selected values","11",
"2016","Brown University","Engineering","Biomedical engineering","First Time Students","Full Time","Total for selected values","11",
"2016","Brown University","Engineering","Biomedical engineering","First Time Students","Full Time","Female","4",
"2016","Brown University","Engineering","Biomedical engineering","First Time Students","Full Time","Male","7",
"2016","Brown University","Engineering","Engineering not elsewhere classified","Total for selected values","Total for selected values","Total for selected values","74",
"2016","Brown University","Engineering","Engineering not elsewhere classified","First Time Students","Total for selected values","Total for selected values","74",
"2016","Brown University","Engineering","Engineering not elsewhere classified","First Time Students","Full Time","Total for selected values","74",
"2016","Brown University","Engineering","Engineering not elsewhere classified","First Time Students","Full Time","Female","23",
"2016","Brown University","Engineering","Engineering not elsewhere classified","First Time Students","Full Time","Male","51",
"2016","Columbia University in the City of New York","Total for selected values","Total for selected values","Total for selected values","Total for selected values","Total for selected values","2,280",
"2016","Columbia University in the City of New York","Science","Total for selected values","Total for selected values","Total for selected values","Total for selected values","1,194",
"2016","Columbia University in the City of New York","Science","Anthropology","Total for selected values","Total for selected values","Total for selected values","26",
"2016","Columbia University in the City of New York","Science","Anthropology","First Time Students","Total for selected values","Total for selected values","26",
"2016","Columbia University in the City of New York","Science","Anthropology","First Time Students","Full Time","Total for selected values","26",
"2016","Columbia University in the City of New York","Science","Anthropology","First Time Students","Full Time","Female","23",
"2016","Columbia University in the City of New York","Science","Anthropology","First Time Students","Full Time","Male","3",
"2016","Columbia University in the City of New York","Science","Astronomy and astrophysics","Total for selected values","Total for selected values","Total for selected values","3",
"2016","Columbia University in the City of New York","Science","Astronomy and astrophysics","First Time Students","Total for selected values","Total for selected values","3",
"2016","Columbia University in the City of New York","Science","Astronomy and astrophysics","First Time Students","Full Time","Total for selected values","3",
"2016","Columbia University in the City of New York","Science","Astronomy and astrophysics","First Time Students","Full Time","Female","3",
"2016","Columbia University in the City of New York","Science","Biology","Total for selected values","Total for selected values","Total for selected values","15",
"2016","Columbia University in the City of New York","Science","Biology","First Time Students","Total for selected values","Total for selected values","15",
"2016","Columbia University in the City of New York","Science","Biology","First Time Students","Full Time","Total for selected values","15",
"2016","Columbia University in the City of New York","Science","Biology","First Time Students","Full Time","Female","6",
"2016","Columbia University in the City of New York","Science","Biology","First Time Students","Full Time","Male","9",
"2016","Columbia University in the City of New York","Science","Biometry and epidemiology","Total for selected values","Total for selected values","Total for selected values","95",
"2016","Columbia University in the City of New York","Science","Biometry and epidemiology","First Time Students","Total for selected values","Total for selected values","95",
"2016","Columbia University in the City of New York","Science","Biometry and epidemiology","First Time Students","Full Time","Total for selected values","95",
"2016","Columbia University in the City of New York","Science","Biometry and epidemiology","First Time Students","Full Time","Female","62",
"2016","Columbia University in the City of New York","Science","Biometry and epidemiology","First Time Students","Full Time","Male","33",
"2016","Columbia University in the City of New York","Science","Biophysics","Total for selected values","Total for selected values","Total for selected values","22",
"2016","Columbia University in the City of New York","Science","Biophysics","First Time Students","Total for selected values","Total for selected values","22",
"2016","Columbia University in the City of New York","Science","Biophysics","First Time Students","Full Time","Total for selected values","22",
"2016","Columbia University in the City of New York","Science","Biophysics","First Time Students","Full Time","Female","9",
"2016","Columbia University in the City of New York","Science","Biophysics","First Time Students","Full Time","Male","13",
"2016","Columbia University in the City of New York","Science","Biosciences not elsewhere classified","Total for selected values","Total for selected values","Total for selected values","42",
"2016","Columbia University in the City of New York","Science","Biosciences not elsewhere classified","First Time Students","Total for selected values","Total for selected values","42",
"2016","Columbia University in the City of New York","Science","Biosciences not elsewhere classified","First Time Students","Full Time","Total for selected values","42",
"2016","Columbia University in the City of New York","Science","Biosciences not elsewhere classified","First Time Students","Full Time","Female","32",
"2016","Columbia University in the City of New York","Science","Biosciences not elsewhere classified","First Time Students","Full Time","Male","10",
"2016","Columbia University in the City of New York","Science","Chemistry","Total for selected values","Total for selected values","Total for selected values","35",
"2016","Columbia University in the City of New York","Science","Chemistry","First Time Students","Total for selected values","Total for selected values","35",
"2016","Columbia University in the City of New York","Science","Chemistry","First Time Students","Full Time","Total for selected values","35",
"2016","Columbia University in the City of New York","Science","Chemistry","First Time Students","Full Time","Female","14",
"2016","Columbia University in the City of New York","Science","Chemistry","First Time Students","Full Time","Male","21",
"2016","Columbia University in the City of New York","Science","Computer sciences","Total for selected values","Total for selected values","Total for selected values","190",
"2016","Columbia University in the City of New York","Science","Computer sciences","First Time Students","Total for selected values","Total for selected values","190",
"2016","Columbia University in the City of New York","Science","Computer sciences","First Time Students","Full Time","Total for selected values","190",
"2016","Columbia University in the City of New York","Science","Computer sciences","First Time Students","Full Time","Female","41",
"2016","Columbia University in the City of New York","Science","Computer sciences","First Time Students","Full Time","Male","149",
"2016","Columbia University in the City of New York","Science","Earth, atmospheric, and ocean sciences not elsewhere classified","Total for selected values","Total for selected values","Total for selected values","29",
"2016","Columbia University in the City of New York","Science","Earth, atmospheric, and ocean sciences not elsewhere classified","First Time Students","Total for selected values","Total for selected values","29",
"2016","Columbia University in the City of New York","Science","Earth, atmospheric, and ocean sciences not elsewhere classified","First Time Students","Full Time","Total for selected values","29",
"2016","Columbia University in the City of New York","Science","Earth, atmospheric, and ocean sciences not elsewhere classified","First Time Students","Full Time","Female","20",
"2016","Columbia University in the City of New York","Science","Earth, atmospheric, and ocean sciences not elsewhere classified","First Time Students","Full Time","Male","9",
"2016","Columbia University in the City of New York","Science","Economics (except agricultural)","Total for selected values","Total for selected values","Total for selected values","88",
"2016","Columbia University in the City of New York","Science","Economics (except agricultural)","First Time Students","Total for selected values","Total for selected values","88",
"2016","Columbia University in the City of New York","Science","Economics (except agricultural)","First Time Students","Full Time","Total for selected values","88",
"2016","Columbia University in the City of New York","Science","Economics (except agricultural)","First Time Students","Full Time","Female","42",
"2016","Columbia University in the City of New York","Science","Economics (except agricultural)","First Time Students","Full Time","Male","46",
"2016","Columbia University in the City of New York","Science","Genetics","Total for selected values","Total for selected values","Total for selected values","1",
"2016","Columbia University in the City of New York","Science","Genetics","First Time Students","Total for selected values","Total for selected values","1",
"2016","Columbia University in the City of New York","Science","Genetics","First Time Students","Full Time","Total for selected values","1",
"2016","Columbia University in the City of New York","Science","Genetics","First Time Students","Full Time","Female","1",
"2016","Columbia University in the City of New York","Science","Geosciences","Total for selected values","Total for selected values","Total for selected values","44",
"2016","Columbia University in the City of New York","Science","Geosciences","First Time Students","Total for selected values","Total for selected values","44",
"2016","Columbia University in the City of New York","Science","Geosciences","First Time Students","Full Time","Total for selected values","44",
"2016","Columbia University in the City of New York","Science","Geosciences","First Time Students","Full Time","Female","23",
"2016","Columbia University in the City of New York","Science","Geosciences","First Time Students","Full Time","Male","21",
"2016","Columbia University in the City of New York","Science","Mathematics and applied mathematics","Total for selected values","Total for selected values","Total for selected values","110",
"2016","Columbia University in the City of New York","Science","Mathematics and applied mathematics","First Time Students","Total for selected values","Total for selected values","110",
"2016","Columbia University in the City of New York","Science","Mathematics and applied mathematics","First Time Students","Full Time","Total for selected values","110",
"2016","Columbia University in the City of New York","Science","Mathematics and applied mathematics","First Time Students","Full Time","Female","49",
"2016","Columbia University in the City of New York","Science","Mathematics and applied mathematics","First Time Students","Full Time","Male","61",
